U:0,U:1,U:2,Points:0,Points:1,Points:2
0.0,0.0,0.0,0.91436,3.7826,0
0.0,0.0,0.0,1.3849,3.7826,0
0.0,0.0,0.0,1.8661,3.7826,0
0.0,0.0,0.0,2.3467,3.7826,0
0.0,0.0,0.0,2.8258,3.7826,0
0.0,0.0,0.0,3.3043,3.7826,0
0.0,0.0,0.0,3.7826,3.7826,0
0.0,0.0,0.0,4.2609,3.7826,0
0.0,0.0,0.0,4.7391,3.7826,0
0.0,0.0,0.0,5.2174,3.7826,0
0.0,0.0,0.0,5.6957,3.7826,0
0.0,0.0,0.0,6.1739,3.7826,0
0.0,0.0,0.0,6.6522,3.7826,0
0.0,0.0,0.0,7.1304,3.7826,0
0.0,0.0,0.0,7.6087,3.7826,0
0.0,0.0,0.0,8.087,3.7826,0
0.0,0.0,0.0,8.5652,3.7826,0
0.0,0.0,0.0,9.0435,3.7826,0
0.0,0.0,0.0,9.5217,3.7826,0
0.0,0.0,0.0,10,3.7826,0
0.0,0.0,0.0,10.478,3.7826,0
0.0,0.0,0.0,10.957,3.7826,0
0.0,0.0,0.0,11.435,3.7826,0
0.0,0.0,0.0,11.913,3.7826,0
0.0,0.0,0.0,12.391,3.7826,0
0.0,0.0,0.0,12.87,3.7826,0
0.0,0.0,0.0,13.348,3.7826,0
0.0,0.0,0.0,13.826,3.7826,0
0.0,0.0,0.0,14.304,3.7826,0
0.0,0.0,0.0,14.783,3.7826,0
0.0,0.0,0.0,15.261,3.7826,0
0.0,0.0,0.0,15.739,3.7826,0
0.0,0.0,0.0,16.217,3.7826,0
0.0,0.0,0.0,16.696,3.7826,0
0.0,0.0,0.0,17.174,3.7826,0
0.0,0.0,0.0,17.653,3.7826,0
0.0,0.0,0.0,18.134,3.7826,0
0.0,0.0,0.0,18.615,3.7826,0
0.0,0.0,0.0,19.086,3.7826,0
0.0,0.0,0.0,19.512,3.7826,0
0.6516,0.0789475,0.519875,19.9,3.7826,0
0.590575,0.518,-0.779875,0.1,4.2609,0
0.0,0.0,0.0,0.48827,4.2609,0
0.0,0.0,0.0,0.91437,4.2609,0
0.0,0.0,0.0,1.3849,4.2609,0
0.0,0.0,0.0,1.8661,4.2609,0
0.0,0.0,0.0,2.3467,4.2609,0
0.0,0.0,0.0,2.8258,4.2609,0
0.0,0.0,0.0,3.3043,4.2609,0
0.0,0.0,0.0,3.7826,4.2609,0
0.0,0.0,0.0,4.2609,4.2609,0
0.0,0.0,0.0,4.7391,4.2609,0
0.0,0.0,0.0,5.2174,4.2609,0
0.0,0.0,0.0,5.6957,4.2609,0
0.0,0.0,0.0,6.1739,4.2609,0
0.0,0.0,0.0,6.6522,4.2609,0
0.0,0.0,0.0,7.1304,4.2609,0
0.0,0.0,0.0,7.6087,4.2609,0
0.0,0.0,0.0,8.087,4.2609,0
0.0,0.0,0.0,8.5652,4.2609,0
0.0,0.0,0.0,9.0435,4.2609,0
0.0,0.0,0.0,9.5217,4.2609,0
0.0,0.0,0.0,10,4.2609,0
0.0,0.0,0.0,10.478,4.2609,0
0.0,0.0,0.0,10.957,4.2609,0
0.0,0.0,0.0,11.435,4.2609,0
0.0,0.0,0.0,11.913,4.2609,0
0.0,0.0,0.0,12.391,4.2609,0
0.0,0.0,0.0,12.87,4.2609,0
0.0,0.0,0.0,13.348,4.2609,0
0.0,0.0,0.0,13.826,4.2609,0
0.0,0.0,0.0,14.304,4.2609,0
0.0,0.0,0.0,14.783,4.2609,0
0.0,0.0,0.0,15.261,4.2609,0
0.0,0.0,0.0,15.739,4.2609,0
0.0,0.0,0.0,16.217,4.2609,0
0.0,0.0,0.0,16.696,4.2609,0
0.0,0.0,0.0,17.174,4.2609,0
